,NEW,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,cu_exec_start_stop,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid,util_p_boot,util_p_orte,util_p_setup_1,util_p_setup_2,util_p_term,util_p_total,util_p_uexec,util_u_eprep,util_u_equeue,util_u_exec_app,util_u_exec_cu,util_u_exec_orte,util_u_exec_rp,util_u_pre_exec,util_u_total,util_u_unschedule
rp.session.two.jdakka.017800.0021,11.457200050354006,167.56110000610354,6076.1524999141675,34.18939995765686,0.001600027084350586,0.1024000644683838,1537997687.0895998,6007.0596001148215,0.04470062255859375,0.5676999092102051,0.08890008926391603,0.00989985466003418,1.1699001789093018,6005.822499990461,exp6,1280,1280,1,1,1,65,65,0,rp.session.two.jdakka.017800.0021,0,0,0,0,0,0,6066.8931000232715,0.275099515914917,0.5705997943878174,0,0.5051994323730469,0,1.8027999401092527,0.09420108795166016,6007.066099643707,0
rp.session.two.jdakka.017800.0013,4.519500017166138,73.84349989891051,6075.424799919128,22.51960015296936,7.509500026702881,0.10419988632202147,1537996987.4721,6006.5367000103015,0.013300657272338869,0.1382002830505371,0.01939988136291504,0.006099939346313477,0.3239002227783203,6005.5333001613635,exp2,320,320,1,1,1,17,17,0,rp.session.two.jdakka.017800.0013,0,0,0,0,0,0,6068.445199966431,0.06779980659484862,0.14060044288635254,0,0.10389995574951172,0,1.2984001636505127,0.023799657821655273,6006.545800209045,0
rp.session.two.jdakka.017800.0017,9.895499944686891,110.92000007629395,6082.137099981309,33.612299919128425,0.001399993896484375,0.10260009765625,1537997513.0964,6006.731200218201,0.025899887084960938,0.2929999828338623,0.03980064392089844,0.007899761199951172,0.4392001628875733,6005.6827001571655,exp4,640,640,1,1,1,33,33,0,rp.session.two.jdakka.017800.0017,0,0,0,0,0,0,6073.892699956895,0.1370997428894043,0.2955002784729004,0,0.28099966049194336,0,1.4451000690460205,0.047899723052978516,6006.737900018691,0
rp.session.two.jdakka.017801.0019,10.856600046157837,18330.131999969482,6077.697499990461,33.752700090408325,0.0014998912811279295,0.09870004653930664,1538071821.4699,6008.718299865723,0.09329986572265624,2.0278000831604004,0.2111983299255371,0.014300107955932615,0.7339000701904297,6007.3916001319885,exp8,2560,2560,1,1,1,129,129,0,rp.session.two.jdakka.017801.0019,0,0,0,0,0,0,6071.236200094222,0.5433018207550049,2.0311999320983887,0,0.7919998168945312,0,3.205399990081787,0.20040154457092285,6008.7757999896985,0
rp.session.two.jdakka.017801.0015,11.98169994354248,11869.128400087357,6074.913300037384,34.053200006484985,0.001600027084350586,0.10229992866516112,1538071596.4117,6008.2528998851785,0.09950017929077147,1.9513998031616209,0.2153000831604004,0.024199724197387692,0.715900182723999,6007.061399936676,exp7,2560,2560,1,1,1,129,129,0,rp.session.two.jdakka.017801.0015,0,0,0,0,0,0,6065.350800037384,0.5900988578796387,1.9551000595092767,0,0.7946996688842773,0,3.0967001914978027,0.19790005683898929,6008.264699935913,0
rp.session.two.jdakka.017800.0019,10.308300018310547,183.56349992752075,6080.272500038147,33.4520001411438,0.0014998912811279295,0.1028001308441162,1537997556.9285998,6007.1113998889905,0.047499656677246094,0.5779001712799072,0.08820009231567383,0.012300252914428713,1.3382997512817385,6005.813200235368,exp5,1280,1280,1,1,1,65,65,0,rp.session.two.jdakka.017800.0019,0,0,0,0,0,0,6071.815299987793,0.27609968185424805,0.580700159072876,0,0.6484999656677246,0,1.7269999980926514,0.0912008285522461,6007.12049984932,0
rp.session.two.jdakka.017800.0015,10.291100025177002,109.9773998260498,6079.408100128174,33.56030011177063,0.0009000301361083984,0.09839987754821776,1537997427.4249,6006.8155999183655,0.024999380111694336,0.2711000442504883,0.04040193557739258,0.011899948120117188,1.0167999267578125,6005.777299880981,exp3,640,640,1,1,1,33,33,0,rp.session.two.jdakka.017800.0015,0,0,0,0,0,0,6073.760900020599,0.12200021743774415,0.2737002372741699,0,0.2072000503540039,0,1.55649995803833,0.05100059509277344,6006.821300268172,0
rp.session.two.jdakka.017800.0011,8.632100105285645,72.45949983596802,6087.740299940109,15.081100225448608,0.002499818801879883,0.1324000358581543,1537996793.2381997,6006.707599878311,0.013499975204467773,0.13739991188049316,0.018700361251831055,0.003799915313720703,0.3111000061035156,6005.657300233841,exp1,320,320,1,1,1,17,17,0,rp.session.two.jdakka.017800.0011,0,0,0,0,0,0,6072.226999998093,0.06849980354309082,0.1398003101348877,0,0.11089968681335449,0,1.4012000560760498,0.02649974822998047,6006.712900161743,0
