,NEW,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,cu_exec_start_stop,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid,util_p_boot,util_p_orte,util_p_setup_1,util_p_setup_2,util_p_term,util_p_total,util_p_uexec,util_u_eprep,util_u_equeue,util_u_exec_app,util_u_exec_cu,util_u_exec_orte,util_u_exec_rp,util_u_pre_exec,util_u_total,util_u_unschedule
re.session.login2.hrlee.018147.0003,133.5621199607849,3011.0033090114594,16703.78326010704,6.3737099170684814,0.0005249977111816406,0.03740215301513672,1567937718.102061,16453.616816997528,0.01548123359680176,1.7706665992736816,0.04016304016113281,0.02376866340637207,0.7176084518432617,16444.931758642193,exp5,840,840,1,1,1,132,132,0,re.session.login2.hrlee.018147.0003,0,0,0,0,0,0,16698.006292104717,0.7707846164703369,1.7707686424255369,0,8.541749000549316,0,1.8364217281341555,8.462652206420897,16453.61994791031,0
re.session.login2.hrlee.018147.0001,495.09762811660767,3608.793673753738,24659.628137111664,6.230410099029541,0.0005309581756591797,0.03635907173156738,1567944717.4151244,23627.59360074997,0.04350113868713379,8.01586389541626,0.1910848617553711,0.14461421966552734,2.3546276092529297,23622.471390247345,exp5,3360,3360,1,1,1,492,491,1,re.session.login2.hrlee.018147.0001,0,0,0,0,0,0,24651.396548986435,2.6342966556549072,8.015967845916746,0,25.385559797286987,0,8.061999082565308,25.34524798393249,23627.59731173516,0
re.session.login2.hrlee.018146.0007,75.46956491470338,59.24578499794006,15775.005748033524,6.076735019683838,0.0005350112915039061,0.03642106056213379,1567883983.171905,15580.431276082993,0.009071111679077148,0.8875188827514648,0.017377138137817383,0.015639066696166992,0.4416108131408691,15574.639823436735,exp5,420,420,1,1,1,72,72,0,re.session.login2.hrlee.018146.0007,0,0,0,0,0,0,15767.192924976347,0.4108057022094727,0.8876197338104248,0,5.483827829360962,0,0.9354119300842284,5.423940181732178,15580.503745794296,0
re.session.login2.hrlee.018148.0002,254.01237988471985,55.76425004005432,21048.05844402313,6.50425386428833,0.0005891323089599608,0.036268949508666985,1568079325.5523741,20622.45014667511,0.03123927116394043,3.4427068233489986,0.10390400886535643,0.04380607604980469,1.000541925430298,20607.260193824768,exp5,1680,1680,1,1,1,252,252,0,re.session.login2.hrlee.018148.0002,0,0,0,0,0,0,21036.299936056133,1.2787067890167236,3.442815065383911,0,15.10265040397644,0,3.7911198139190674,14.916166067123413,20622.456449985504,0
re.session.login2.hrlee.018149.0000,974.5397801399231,989.211098909378,43255.10722088814,6.3489930629730225,0.0005459785461425781,0.036581993103027344,1568124415.742182,24585.375036001205,0.08516716957092285,25.571293115615845,0.5643670558929443,0.15182018280029297,3.9931349754333496,24566.903335094452,exp5,6720,6720,1,1,1,972,971,0,re.session.login2.hrlee.018149.0000,0,0,0,0,0,0,0.0,9.446589946746826,25.57139801979065,0,46.831533670425415,0,25.068296194076538,46.79963040351868,24585.37831902504,0
