,CANCELED,DONE,FAILED,NEW,PMGR_ACTIVE,PMGR_ACTIVE_PENDING,PMGR_LAUNCHING,PMGR_LAUNCHING_PENDING,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,ncore,nunit,pid,sid,util_p_boot,util_p_orte,util_p_setup_1,util_p_setup_2,util_p_term,util_p_total,util_p_uexec
0,19854.76032614708,,,133.5621199607849,3150.977066040039,139.9737570285797,133.60004711151123,133.59952211380005,3011.0033090114594,16703.78326010704,6.3737099170684814,0.0005249977111816406,0.03740215301513672,exp5,summit.olcf.ornl.gov,840,132,pilot.0000,re.session.login2.hrlee.018147.0003,,,,,,,16698.00629210472
0,28769.786739110947,,,495.09762811660767,4110.158601999283,501.36492824554443,495.1345181465149,495.13398718833923,3608.7936737537384,24659.628137111664,6.230410099029541,0.0005309581756591797,0.03635907173156738,exp5,summit.olcf.ornl.gov,3360,492,pilot.0000,re.session.login2.hrlee.018147.0001,,,,,,,24651.396548986435
0,15915.834789037704,,,75.46956491470337,140.8290410041809,81.58325600624084,75.506520986557,75.5059859752655,59.24578499794006,15775.005748033524,6.076735019683838,0.0005350112915039062,0.03642106056213379,exp5,summit.olcf.ornl.gov,420,72,pilot.0000,re.session.login2.hrlee.018146.0007,,,,,,,15767.192924976349
