,AGENT_EXECUTING,AGENT_EXECUTING_PENDING,AGENT_SCHEDULING,AGENT_SCHEDULING_PENDING,AGENT_STAGING_INPUT,AGENT_STAGING_INPUT_PENDING,AGENT_STAGING_OUTPUT,AGENT_STAGING_OUTPUT_PENDING,CANCELED,DONE,FAILED,NEW,UMGR_SCHEDULING,UMGR_SCHEDULING_PENDING,UMGR_STAGING_INPUT,UMGR_STAGING_INPUT_PENDING,UMGR_STAGING_OUTPUT,UMGR_STAGING_OUTPUT_PENDING,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,cu_exec_start_stop,experiment,hid,pid,sid,uid,util_u_eprep,util_u_equeue,util_u_exec_app,util_u_exec_cu,util_u_exec_orte,util_u_exec_rp,util_u_pre_exec,util_u_total,util_u_unschedule
0,10744.336699962616,10744.335400104523,10744.334400177002,10744.332900047302,10744.250900030136,10742.41200017929,10750.304900169373,10750.302400112152,,10752.327600002289,,10742.307600021362,10742.410600185394,10742.409900188446,10742.411800146103,10742.411000013351,10752.327500104904,10750.308400154114,5.965700149536133,0.0015001296997070312,0.0012998580932617188,0.0009999275207519531,0.0006999969482421875,0.10230016708374023,5.003600120544434,exp2,pvt.bridges.psc.edu,pilot.0000,rp.session.two.jdakka.017794.0037,unit.000000,0.007600069046020508,0.0019998550415039062,,0.01549983024597168,,0.8514001369476318,0.0065000057220458984,5.968699932098389,
1,10754.468100070953,10754.467200040817,10754.465899944305,10754.4648001194,10754.402699947357,10752.663300037384,16757.302400112152,16757.300400018692,,16759.285900115967,,10752.435500144958,10752.660600185394,10752.658200025558,10752.663100004196,10752.661499977112,16759.28550004959,16757.32540011406,6002.832299947739,0.0010998249053955078,0.0009000301361083984,0.0013000965118408203,0.0024001598358154297,0.22269988059997559,6000.426300048828,exp2,pvt.bridges.psc.edu,pilot.0000,rp.session.two.jdakka.017794.0037,unit.000001,0.005300045013427734,0.0018999576568603516,,0.010600090026855469,,2.3028998374938965,0.002000093460083008,6002.835599899292,
2,10754.495100021362,10754.473600149155,10754.47250008583,10754.47169995308,10754.402699947357,10752.663300037384,16757.679900169373,16757.604799985886,,16759.285900115967,,10752.43700003624,10752.660600185394,10752.658200025558,10752.663100004196,10752.661499977112,16759.28550004959,16757.703299999237,6003.109699964523,0.0008001327514648438,0.0214998722076416,0.0011000633239746094,0.0024001598358154297,0.22119998931884766,6000.1241998672485,exp2,pvt.bridges.psc.edu,pilot.0000,rp.session.two.jdakka.017794.0037,unit.000002,0.004800081253051758,0.022300004959106445,,0.01510000228881836,,2.9330999851226807,0.0018999576568603516,6003.134600162506,
3,10754.519299983978,10754.479500055313,10754.478300094604,10754.477400064468,10754.402699947357,10752.663300037384,16757.706700086594,16757.705700159073,,16759.285900115967,,10752.438199996948,10752.660600185394,10752.658200025558,10752.663100004196,10752.661499977112,16759.28550004959,16757.74160003662,6003.186400175095,0.0009000301361083984,0.03979992866516113,0.001199960708618164,0.0024001598358154297,0.2200000286102295,6000.115199804306,exp2,pvt.bridges.psc.edu,pilot.0000,rp.session.two.jdakka.017794.0037,unit.000003,0.004500150680541992,0.04069995880126953,,0.022600173950195312,,2.9171998500823975,0.002399921417236328,6003.227699995041,
4,10754.542999982834,10754.485700130463,10754.484600067139,10754.483700037003,10754.402699947357,10752.663300037384,16757.872100114822,16757.70860004425,,16759.285900115967,,10752.43950009346,10752.660600185394,10752.658200025558,10752.663100004196,10752.661499977112,16759.28550004959,16757.928500175476,6003.165600061417,0.0009000301361083984,0.05729985237121582,0.0011000633239746094,0.0024001598358154297,0.21869993209838867,6000.125200033188,exp2,pvt.bridges.psc.edu,pilot.0000,rp.session.two.jdakka.017794.0037,unit.000004,0.00690007209777832,0.05819988250732422,,0.01920008659362793,,2.941999912261963,0.0017998218536376953,6003.226399898529,
5,10754.568600177765,10754.491500139236,10754.490300178528,10754.489400148392,10754.402699947357,10752.663300037384,16757.742500066757,16757.706300020218,,16759.285900115967,,10752.440800189972,10752.660600185394,10752.658200025558,10752.663100004196,10752.661499977112,16759.28550004959,16757.78299999237,6003.137699842453,0.0009000301361083984,0.07710003852844238,0.001199960708618164,0.0024001598358154297,0.21739983558654785,6000.126800060272,exp2,pvt.bridges.psc.edu,pilot.0000,rp.session.two.jdakka.017794.0037,unit.000005,0.022499799728393555,0.07800006866455078,,0.016099929809570312,,2.8316001892089844,0.0019998550415039062,6003.216300010681,
6,10754.609100103378,10754.498600006104,10754.49749994278,10754.496700048447,10754.402699947357,10752.663300037384,16758.02209997177,16757.710200071335,,16759.285900115967,,10752.442200183868,10752.660600185394,10752.658200025558,10752.663100004196,10752.661499977112,16759.28550004959,16758.051399946213,6003.1010999679565,0.0007998943328857422,0.11050009727478027,0.0011000633239746094,0.0024001598358154297,0.21599984169006348,6000.125400066376,exp2,pvt.bridges.psc.edu,pilot.0000,rp.session.two.jdakka.017794.0037,unit.000006,0.003999948501586914,0.11140012741088867,,0.013499975204467773,,2.9128000736236572,0.0023000240325927734,6003.216700077057,
7,10754.629899978638,10754.508399963379,10754.507300138474,10754.506500005722,10754.402699947357,10752.663300037384,16757.78400015831,16757.70690011978,,16759.285900115967,,10752.443600177765,10752.660600185394,10752.658200025558,10752.663100004196,10752.661499977112,16759.28550004959,16757.802400112152,6003.077000141144,0.0008001327514648438,0.12150001525878906,0.0010998249053955078,0.0024001598358154297,0.2145998477935791,6000.102400064468,exp2,pvt.bridges.psc.edu,pilot.0000,rp.session.two.jdakka.017794.0037,unit.000007,0.01640009880065918,0.12239980697631836,,0.0158998966217041,,2.8064000606536865,0.0018999576568603516,6003.200599908829,
8,10754.662600040436,10754.514500141144,10754.51340007782,10754.512599945068,10754.402699947357,10752.663300037384,16757.92960000038,16757.70910000801,,16759.285900115967,,10752.445000171661,10752.660600185394,10752.658200025558,10752.663100004196,10752.661499977112,16759.28550004959,16757.972900152206,6003.046499967575,0.0008001327514648438,0.1480998992919922,0.0011000633239746094,0.0024001598358154297,0.21319985389709473,6000.123199939728,exp2,pvt.bridges.psc.edu,pilot.0000,rp.session.two.jdakka.017794.0037,unit.000008,0.0046999454498291016,0.14899992942810059,,0.012799978256225586,,2.799600124359131,0.0017001628875732422,6003.198699951172,
9,10754.684200048447,10754.520499944687,10754.519400119781,10754.51859998703,10754.402699947357,10752.663300037384,16757.80330014229,16757.707400083542,,16759.285900115967,,10752.44620013237,10752.660600185394,10752.658200025558,10752.663100004196,10752.661499977112,16759.28550004959,16757.844400167465,6003.023200035095,0.0008001327514648438,0.16370010375976562,0.0010998249053955078,0.0024001598358154297,0.21199989318847656,6000.128700017929,exp2,pvt.bridges.psc.edu,pilot.0000,rp.session.two.jdakka.017794.0037,unit.000009,0.003799915313720703,0.16459989547729492,,0.015200138092041016,,2.7651000022888184,0.0018999576568603516,6003.189599990845,
