,NEW,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,cu_exec_start_stop,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid,util_p_boot,util_p_orte,util_p_setup_1,util_p_setup_2,util_p_term,util_p_total,util_p_uexec,util_u_eprep,util_u_equeue,util_u_exec_app,util_u_exec_cu,util_u_exec_orte,util_u_exec_rp,util_u_pre_exec,util_u_total,util_u_unschedule
rp.session.two.jdakka.017794.0037,4.366300106048584,10698.466099977491,6086.7521998882285,30.165499925613407,0.0027000904083251953,0.10179996490478516,1537460681.9192,6009.208300113678,0.014500379562377931,0.3626997470855713,0.018700361251831055,0.003100156784057617,0.3250000476837158,6005.881500244141,exp2,448,448,1,1,1,17,17,0,rp.session.two.jdakka.017794.0037,0,0,0,0,0,0,6070.028100013733,0.11220026016235353,0.3651998043060303,0,0.17030000686645508,0,3.903900146484375,0.03469967842102052,6009.217899799347,0
rp.session.two.jdakka.017794.0035,8.50189995765686,922.088900089264,6087.281199932098,16.38949990272522,0.001399993896484375,0.09980010986328124,1537460572.9606998,6008.1686000823975,0.005800008773803711,0.07540011405944824,0.005199909210205078,0.0019001960754394527,0.20689988136291504,6006.4188997745505,exp1,112,112,1,1,1,5,5,0,rp.session.two.jdakka.017794.0035,0,0,0,0,0,0,6071.0815999507895,0.03410005569458008,0.07760024070739746,0,0.0887002944946289,0,2.7640998363494877,0.0167999267578125,6008.174600124359,0
rp.session.two.jdakka.017795.0001,9.021600008010864,98786.91740012169,9189.791999816895,14.044600009918213,0.002399921417236328,0.10540008544921875,108026.4688000679,0.0,0.0,0.0,0.0,0.004199981689453125,0.3408999443054199,0.0,exp3,896,896,1,1,1,33,1,0,rp.session.two.jdakka.017795.0001,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0
